description,monthly_installment,list_price,model,milleage,gear_type,location
2013/2014 BMW 528i 2.0 Sedan - M Sport service record F10 full spec,"RM 1,139 / month","RM 87,888",BMW 528i,145 - 150K KM,Automatic,"Selangor, Puchong"
2017 Honda Civic 1.8 S i-VTEC Sedan - (A) NO PROCESSING CHARGE,RM 918 / month,"RM 70,800",Honda Civic,100 - 105K KM,Automatic,"Kuala Lumpur, Cheras"
2012 BMW 328i 2.0 Luxury Line Sedan - Luxury (A) ONE YEAR WARRANTY,RM 594 / month,"RM 45,800",BMW 328i,135 - 140K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Toyota Corolla Altis 2.0 V Sedan - (A) NO PROCESSING CHARGE,RM 646 / month,"RM 49,800",Toyota Corolla Altis,120 - 125K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Honda Accord 2.4 i-VTEC VTi-L Sedan - VTi-L FACELIFT (A) NO PROCESSING CHARGE,RM 594 / month,"RM 45,800",Honda Accord,120 - 125K KM,Automatic,"Kuala Lumpur, Cheras"
"2013 BMW 520i 2.0 Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION",RM 814 / month,"RM 62,800",BMW 520i,135 - 140K KM,Automatic,"Penang, Bukit Mertajam"
"2016 BMW 520i 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,553 / month","RM 119,800",BMW 520i,60 - 65K KM,Automatic,"Penang, Bukit Mertajam"
"2018 Toyota Harrier 2.0 Premium SUV - (A) 1 YEAR WARRANTY, SELECTION","RM 1,942 / month","RM 149,800",Toyota Harrier,105 - 110K KM,Automatic,"Penang, Bukit Mertajam"
"2017 BMW X1 2.0 sDrive20i Sport Line SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,138 / month","RM 87,800",BMW X1,120 - 125K KM,Automatic,"Penang, Bukit Mertajam"
"2019 BMW X4 2.0 xDrive30i M Sport SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 3,187 / month","RM 245,800",BMW X4,70 - 75K KM,Automatic,"Penang, Bukit Mertajam"
"2014 BMW 528i 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,242 / month",N/A,BMW 528i,140 - 145K KM,Automatic,"Penang, Bukit Mertajam"
